baseline_type,window_length,correlation_kind,component_i,component_j,metric,empirical_value,baseline_median,baseline_p05,baseline_p95,difference_from_median,percentile_rank,inside_envelope,above_envelope,below_envelope,n_simulations,quantile_method,outside_envelope
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_05,correlation,0.10349966602376716,-0.04458218776252498,-0.12724236872201672,0.02229155113070047,0.14808185378629213,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_06,correlation,0.044838933849114485,-0.03420675338078508,-0.09245176481513855,0.029201816608353536,0.07904568722989956,0.99,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_07,correlation,0.03818274974487947,-0.017452714061263495,-0.06747894377153994,0.021135411687087304,0.05563546380614297,0.99,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_08,correlation,0.0013808136830641819,-0.02020365458058459,-0.06571081967327903,0.02872635801224378,0.021584468263648772,0.77,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_09,correlation,0.049035903448005604,-0.008291313838710596,-0.051957711251008155,0.03178413162779256,0.0573272172867162,0.98,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_01,correlation,-0.24998738982979338,-0.1693768748301731,-0.2261106196840016,-0.10345407483370048,-0.08061051499962027,0.02,False,False,True,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_02,correlation,-0.04645048053572995,-0.10122288957239017,-0.17750657118831586,-0.03510216404685048,0.054772409036660225,0.91,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_03,correlation,-0.007282334438815756,-0.06978916189150122,-0.12611850810026176,0.003514002722333798,0.06250682745268546,0.91,True,False,False,100,linear,False
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_04,correlation,0.10349966602376715,-0.04458218776252498,-0.12724236872201672,0.02229155113070047,0.14808185378629213,1.0,False,True,False,100,linear,True
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_05,correlation,1.0,1.0,0.9999999999999998,1.0,0.0,1.0,True,False,False,100,linear,False
