window_length,episode_id,regime_label,start_timestamp_utc,end_timestamp_utc,start_window_id,end_window_id,duration_windows,duration_trading_days,mean_total_rms,max_total_rms,mean_total_rms_percentile,mean_fine_share,mean_fine_share_percentile,mean_mid_share,mean_coarse_share,peak_window_timestamp_utc
2048,0,highVol_midFine,2016-01-03 22:05:00+00:00,2016-01-18 00:50:00+00:00,0,3,4,4.0,0.000413922908658275,0.000427375353627,0.9283189316575019,0.8936323077284977,0.6944226237234878,0.09568063903658687,0.01068705323491535,2016-01-18 00:50:00+00:00
2048,1,highVol_highFine,2016-01-07 22:05:00+00:00,2016-01-21 00:50:00+00:00,4,6,3,3.0,0.0003798906017712667,0.000404512856373,0.8922492799162084,0.9119935068770578,0.951950772453522,0.0795120595771992,0.008494433545742967,2016-01-19 00:50:00+00:00
2048,2,highVol_highFine,2016-01-13 22:10:00+00:00,2016-01-28 00:55:00+00:00,8,11,4,4.0,0.000379583479058475,0.0004059091936005,0.891987431264729,0.9012352541411327,0.8459347996857816,0.08897904297313415,0.00978570288573305,2016-01-25 00:55:00+00:00
2048,3,highVol_midFine,2016-01-25 22:20:00+00:00,2016-02-22 01:15:00+00:00,16,28,13,13.0,0.0004033248153112078,0.0004644849855502,0.9133482385642636,0.8835883105510429,0.4535319354643785,0.10454950946694987,0.011862179982006973,2016-02-12 01:05:00+00:00
2048,4,midVol_lowFine,2016-02-17 22:35:00+00:00,2016-03-03 01:20:00+00:00,33,36,4,4.0,0.000318110554944625,0.0003223846167122,0.7770031421838177,0.8692218905618716,0.15278868813825608,0.11633473815272263,0.01444337128540565,2016-02-29 01:20:00+00:00
2048,5,highVol_highFine,2016-02-24 22:40:00+00:00,2016-03-10 01:25:00+00:00,38,41,4,4.0,0.00034531844508554996,0.0003530050802308,0.8417124901806755,0.9094879646452576,0.9347014925373136,0.081011515508115,0.00950051984662735,2016-03-07 01:25:00+00:00
2048,6,highVol_midFine,2016-03-01 22:45:00+00:00,2016-03-15 01:30:00+00:00,42,44,3,3.0,0.0005223556513607,0.0005282477103996,0.9799685781618224,0.8838647516457296,0.46137732390678193,0.10500495722831367,0.011130291125956667,2016-03-14 01:30:00+00:00
2048,7,highVol_lowFine,2016-03-06 22:50:00+00:00,2016-03-22 01:35:00+00:00,45,49,5,5.0,0.00048200889931732,0.0005256140480445,0.9519245875883738,0.8675547752626874,0.12953652788688136,0.11855163375807003,0.01389359097924236,2016-03-18 01:30:00+00:00
2048,8,highVol_midFine,2016-03-13 22:55:00+00:00,2016-03-25 01:35:00+00:00,50,52,3,3.0,0.00033205970259273334,0.000335915073291,0.812254516889238,0.8807816073232299,0.3840010473946059,0.10277627170940169,0.016442120967368235,2016-03-23 01:35:00+00:00
2048,9,midVol_highFine,2016-03-22 23:00:00+00:00,2016-04-06 01:45:00+00:00,57,60,4,4.0,0.00029500028211225,0.000310190060534,0.6951099764336214,0.9037991402865064,0.8762765121759623,0.08564021858381399,0.01056064112967945,2016-04-06 01:45:00+00:00
2048,10,midVol_midFine,2016-03-29 23:05:00+00:00,2016-04-12 01:50:00+00:00,62,64,3,3.0,0.0003185372589665667,0.0003217276497976,0.7784760408483896,0.8868018173346485,0.5315527625032731,0.10208496595961802,0.011113216705733467,2016-04-08 01:45:00+00:00
2048,11,midVol_lowFine,2016-04-03 23:10:00+00:00,2016-04-18 01:55:00+00:00,65,68,4,4.0,0.000308104518635025,0.000313101356207,0.7449921445404556,0.867479921383278,0.12961508248232523,0.1218093625692882,0.01071071604743375,2016-04-14 01:50:00+00:00
2048,12,midVol_midFine,2016-04-07 23:10:00+00:00,2016-04-21 01:55:00+00:00,69,71,3,3.0,0.0002774451840534,0.0002811535595729,0.6231997905210789,0.8890143991078809,0.5778999738151348,0.09864785458749724,0.012337746304621767,2016-04-19 01:55:00+00:00
2048,13,midVol_highFine,2016-04-12 23:15:00+00:00,2016-05-02 02:05:00+00:00,72,78,7,7.0,0.0002981148056056286,0.0003171373683709,0.7082818987767928,0.9033343298195149,0.8735271013354281,0.08952518477016255,0.0071404854103225,2016-05-02 02:05:00+00:00
2048,14,midVol_highFine,2016-04-25 23:25:00+00:00,2016-05-18 02:15:00+00:00,81,90,10,10.0,0.00028868751786048,0.0003215968632146,0.6493322859387274,0.9131863611623257,0.9503534956794972,0.0789441397475809,0.00786949909009336,2016-05-09 02:10:00+00:00
2048,15,midVol_midFine,2016-05-09 23:35:00+00:00,2016-05-25 02:20:00+00:00,91,95,5,5.0,0.00024452579859824,0.0002472712083079,0.4229379418695993,0.8824442671698185,0.42348782403770613,0.10751454370313143,0.010041189127049958,2016-05-19 02:15:00+00:00
2048,16,midVol_lowFine,2016-05-16 23:40:00+00:00,2016-06-01 02:25:00+00:00,96,100,5,5.0,0.00022336585809158002,0.0002390944604424,0.29677926158680284,0.86708583204714,0.1310290652003142,0.1226921068273914,0.01022206112546854,2016-05-27 02:20:00+00:00
2048,17,highVol_midFine,2016-05-26 23:45:00+00:00,2016-06-13 02:35:00+00:00,104,108,5,5.0,0.00033939918711516,0.0003439739419993,0.8302435192458759,0.8765615191239885,0.2787902592301649,0.10289261626430764,0.020545864611703803,2016-06-10 02:30:00+00:00
2048,18,midVol_midFine,2016-06-06 23:55:00+00:00,2016-06-21 02:40:00+00:00,111,114,4,4.0,0.000305276720700625,0.0003260608678815,0.7162215239591516,0.8846910371982577,0.47898664571877453,0.09794430496959958,0.017364657832142548,2016-06-20 02:40:00+00:00
2048,19,highVol_midFine,2016-06-16 00:00:00+00:00,2016-07-05 02:50:00+00:00,118,124,7,7.0,0.0006994006950505571,0.000719539272831,0.9961844910784423,0.881758536792466,0.4064078105712041,0.10187619493874456,0.016365268268789403,2016-07-01 02:45:00+00:00
2048,20,highVol_highFine,2016-06-27 00:10:00+00:00,2016-07-11 02:55:00+00:00,125,128,4,4.0,0.0003959068951212,0.0004147025411329,0.9127062058130402,0.9156313581920925,0.9541437549096622,0.07807541834916742,0.0062932234587398245,2016-07-06 02:50:00+00:00
2048,21,highVol_midFine,2016-07-01 00:10:00+00:00,2016-07-15 03:05:00+00:00,129,132,4,4.0,0.00034058535491585,0.0003466750930451,0.8320895522388061,0.8782493901107133,0.32099371563236445,0.11601338379300968,0.005737226096276826,2016-07-12 03:05:00+00:00
2048,22,midVol_midFine,2016-07-11 00:20:00+00:00,2016-07-25 03:15:00+00:00,135,138,4,4.0,0.000276105863536725,0.0002815873448496,0.6153770620581304,0.8874798648700484,0.5467399842890809,0.10093346499988436,0.0115866701300671,2016-07-25 03:15:00+00:00
2048,23,midVol_highFine,2016-07-15 00:30:00+00:00,2016-07-29 03:15:00+00:00,139,142,4,4.0,0.000256252313602025,0.0002620583823636,0.49685781618224667,0.9070662002426326,0.9102513747054203,0.081079238281379,0.011854561475988075,2016-07-29 03:15:00+00:00
2048,24,midVol_midFine,2016-07-21 00:35:00+00:00,2016-08-05 03:20:00+00:00,143,147,5,5.0,0.00024154783541089999,0.0002628488010901,0.40157109190887663,0.8943792876624901,0.7111547525530243,0.09109603527266247,0.0145246770648474,2016-08-01 03:20:00+00:00
2048,25,midVol_lowFine,2016-07-28 00:40:00+00:00,2016-08-16 03:30:00+00:00,148,154,7,7.0,0.00022809025336272858,0.0002412483883726,0.31848277409942766,0.8608145136174323,0.08079901245651443,0.1266068826899816,0.012578603692585956,2016-08-08 03:25:00+00:00
2048,26,midVol_midFine,2016-08-10 00:50:00+00:00,2016-08-26 03:35:00+00:00,157,162,6,6.0,0.0002481828297909833,0.0002574151256634,0.44501178318931656,0.8851166060382392,0.4929955485729249,0.10500001555264037,0.009883378409120416,2016-08-22 03:35:00+00:00
2048,27,midVol_highFine,2016-08-18 00:55:00+00:00,2016-09-13 03:50:00+00:00,163,174,12,12.0,0.00026886422230340003,0.0003050151492395,0.5518787640743651,0.907608435571877,0.9128371301387799,0.08184900512649608,0.01054255930162655,2016-09-12 03:50:00+00:00
2048,28,midVol_midFine,2016-09-05 01:10:00+00:00,2016-09-21 03:55:00+00:00,175,180,6,6.0,0.0002553944547928,0.0002741597006986,0.4900497512437811,0.8910199815433026,0.6340010473946058,0.09645267388810087,0.012527344568596532,2016-09-15 03:50:00+00:00
2048,29,midVol_highFine,2016-09-13 01:15:00+00:00,2016-09-29 04:00:00+00:00,181,186,6,6.0,0.0002327774504921,0.0002434626599997,0.346687614558785,0.911831287609226,0.9438989264205291,0.0775872865893238,0.010581425801449948,2016-09-22 03:55:00+00:00
2048,30,midVol_lowFine,2016-09-22 01:20:00+00:00,2016-10-07 04:05:00+00:00,188,192,5,5.0,0.00023868279173524,0.0002546460125898,0.3859387274155538,0.8564497715480593,0.04878240377062058,0.13275066029144056,0.010799568160500058,2016-10-07 04:05:00+00:00
2048,31,midVol_midFine,2016-09-29 01:25:00+00:00,2016-10-13 04:10:00+00:00,193,196,4,4.0,0.0002686849329225,0.0002761614335512,0.5725648075412412,0.8822516468958889,0.42311468970934796,0.10787740418737868,0.0098709489167324,2016-10-13 04:10:00+00:00
2048,32,midVol_midFine,2016-10-06 01:30:00+00:00,2016-10-19 04:15:00+00:00,198,200,3,3.0,0.0002572097131421,0.0002669659244287,0.5036658811207123,0.8968682668903547,0.7649908352971981,0.09377003765299446,0.0093616954566508,2016-10-17 04:15:00+00:00
2048,33,midVol_highFine,2016-10-11 01:35:00+00:00,2016-10-31 04:25:00+00:00,201,208,8,8.0,0.0002582912409041375,0.0002794318197685,0.5094265514532601,0.9227992481121343,0.9826688923802043,0.07053993305345556,0.006660818834410113,2016-10-21 04:15:00+00:00
2048,34,midVol_midFine,2016-10-21 01:40:00+00:00,2016-11-07 04:30:00+00:00,209,213,5,5.0,0.00023512651809841999,0.0002483834191082,0.36370777690494893,0.895474506908483,0.7395129615082483,0.09182902798914601,0.012696465102371018,2016-11-07 04:30:00+00:00
2048,35,highVol_lowFine,2016-10-31 01:50:00+00:00,2016-11-18 04:45:00+00:00,215,222,8,8.0,0.0004552718858209375,0.0005004407136546,0.9460428122545168,0.8684239805780974,0.1395326001571092,0.10578605870882311,0.025789960713079374,2016-11-18 04:45:00+00:00
2048,36,highVol_midFine,2016-11-10 01:55:00+00:00,2016-11-23 04:50:00+00:00,223,225,3,3.0,0.0003668720575984333,0.0003742558887188,0.8769311338046609,0.8802293167993637,0.36868290128305836,0.1098427689654593,0.009927914235176867,2016-11-21 04:50:00+00:00
2048,37,highVol_midFine,2016-11-16 02:10:00+00:00,2016-11-30 04:55:00+00:00,227,230,4,4.0,0.00034121778853115004,0.00034918517693,0.8325805184603299,0.878120478363116,0.3167714061272584,0.10848940911192015,0.01339011252496375,2016-11-25 04:50:00+00:00
2048,38,highVol_midFine,2016-11-23 02:15:00+00:00,2016-12-13 05:05:00+00:00,232,239,8,8.0,0.0004000306341506125,0.000434994206996,0.91393362136685,0.8834122490050356,0.44692655145326,0.10061033919565696,0.015977411799307423,2016-12-09 05:00:00+00:00
2048,39,highVol_lowFine,2016-12-07 02:25:00+00:00,2016-12-26 06:05:00+00:00,242,248,7,7.0,0.0003940117415582857,0.0004377533033748,0.9060711480193019,0.8626469255093517,0.08635394456289978,0.12331073630733655,0.014042338183311544,2016-12-19 05:10:00+00:00
2048,40,midVol_midFine,2016-12-16 02:30:00+00:00,2016-12-29 22:10:00+00:00,249,251,3,3.0,0.00027125583588870003,0.000291554093675,0.5802566116784499,0.8921267956938266,0.6567164179104478,0.0987398341055364,0.009133370200636932,2016-12-27 22:10:00+00:00
2048,41,highVol_highFine,2016-12-21 02:35:00+00:00,2017-01-10 07:20:00+00:00,252,258,7,7.0,0.0003824897504272285,0.0004299084602224,0.8864886095836607,0.908031651635426,0.9128605094826618,0.08180805576423282,0.010160292600341113,2017-01-10 07:20:00+00:00
2048,42,highVol_midFine,2016-12-30 19:35:00+00:00,2017-01-25 07:30:00+00:00,259,269,11,11.0,0.00038431182959623635,0.0004241574089931,0.8940227094194101,0.8886864071999554,0.5775548096836393,0.09892167114547518,0.012391921654569328,2017-01-12 07:20:00+00:00
2048,43,midVol_midFine,2017-01-17 04:50:00+00:00,2017-02-09 07:40:00+00:00,270,280,11,11.0,0.00031185974345804545,0.0003265451818209,0.7561236877811898,0.8832815645271596,0.44511890309219454,0.10340563052898556,0.01331280494385463,2017-01-26 07:30:00+00:00
2048,44,midVol_highFine,2017-02-01 05:00:00+00:00,2017-02-14 07:45:00+00:00,281,283,3,3.0,0.00027775949371493334,0.0002919245389736,0.6196648337261063,0.9021470275257067,0.8609583660644148,0.0865293676397601,0.011323604834533199,2017-02-10 07:40:00+00:00
2048,45,midVol_midFine,2017-02-06 05:05:00+00:00,2017-02-21 07:50:00+00:00,284,288,5,5.0,0.00025912589332516,0.0002642587476412,0.5165750196386488,0.8933289424245082,0.6871170463472114,0.09446657858047951,0.01220447899501222,2017-02-16 07:45:00+00:00
2048,46,midVol_highFine,2017-02-13 05:10:00+00:00,2017-03-06 08:00:00+00:00,289,297,9,9.0,0.0002783837670173333,0.0002937371941913,0.621628698612202,0.9034718034118215,0.8754036833376975,0.08491006293335372,0.011618133654824623,2017-03-02 07:55:00+00:00
2048,47,midVol_midFine,2017-02-24 05:15:00+00:00,2017-03-20 08:10:00+00:00,298,307,10,10.0,0.00026587151333641,0.0002882165595267,0.551885310290652,0.8867798510261723,0.5285545954438334,0.10069363519897534,0.01252651377485221,2017-03-20 08:10:00+00:00
