run_id,stage,operation,baseline_type,simulation_id,started_at_utc,ended_at_utc,elapsed_seconds,status,rows_in,rows_out,output_path,error_message
20260705T193434Z,rolling_baselines,compute_simulation_rolling_correlations,shuffle,5,2026-07-05T19:34:40.485065+00:00,2026-07-05T19:34:46.014482+00:00,5.529405999928713,success,735232,324,data\derived\monte_carlo_baselines\returns\shuffle\shuffle_sim_005.parquet,
20260705T193434Z,rolling_baselines,read_baseline_returns,shuffle,6,2026-07-05T19:34:40.495022+00:00,2026-07-05T19:34:40.529884+00:00,0.03483249992132187,success,735232,735232,data\derived\monte_carlo_baselines\returns\shuffle\shuffle_sim_006.parquet,
20260705T193434Z,rolling_baselines,compute_rolling_metrics_w2048,shuffle,6,2026-07-05T19:34:40.529915+00:00,2026-07-05T19:34:41.897399+00:00,1.367456200066954,success,735232,162,,
20260705T193434Z,rolling_baselines,compute_rolling_metrics_w8192,shuffle,6,2026-07-05T19:34:41.897416+00:00,2026-07-05T19:34:45.944915+00:00,4.047480899957009,success,735232,162,,
20260705T193434Z,rolling_baselines,compute_simulation_rolling_correlations,shuffle,6,2026-07-05T19:34:40.495011+00:00,2026-07-05T19:34:45.944950+00:00,5.449929199996404,success,735232,324,data\derived\monte_carlo_baselines\returns\shuffle\shuffle_sim_006.parquet,
20260705T193434Z,rolling_baselines,read_baseline_returns,shuffle,7,2026-07-05T19:34:41.910785+00:00,2026-07-05T19:34:41.944743+00:00,0.033930699923075736,success,735232,735232,data\derived\monte_carlo_baselines\returns\shuffle\shuffle_sim_007.parquet,
20260705T193434Z,rolling_baselines,compute_rolling_metrics_w2048,shuffle,7,2026-07-05T19:34:41.944774+00:00,2026-07-05T19:34:43.317254+00:00,1.3724580000853166,success,735232,162,,
20260705T193434Z,rolling_baselines,compute_rolling_metrics_w8192,shuffle,7,2026-07-05T19:34:43.317266+00:00,2026-07-05T19:34:48.426336+00:00,5.109052100102417,success,735232,162,,
20260705T193434Z,rolling_baselines,compute_simulation_rolling_correlations,shuffle,7,2026-07-05T19:34:41.910770+00:00,2026-07-05T19:34:48.426361+00:00,6.515580100007355,success,735232,324,data\derived\monte_carlo_baselines\returns\shuffle\shuffle_sim_007.parquet,
20260705T193434Z,rolling_baselines,read_baseline_returns,shuffle,8,2026-07-05T19:34:45.819011+00:00,2026-07-05T19:34:45.883554+00:00,0.06451789999846369,success,735232,735232,data\derived\monte_carlo_baselines\returns\shuffle\shuffle_sim_008.parquet,
20260705T193434Z,rolling_baselines,compute_rolling_metrics_w2048,shuffle,8,2026-07-05T19:34:45.883580+00:00,2026-07-05T19:34:48.348077+00:00,2.4644846000010148,success,735232,162,,
20260705T193434Z,rolling_baselines,compute_rolling_metrics_w8192,shuffle,8,2026-07-05T19:34:48.348082+00:00,2026-07-05T19:34:52.201000+00:00,3.8528876999625936,success,735232,162,,
20260705T193434Z,rolling_baselines,compute_simulation_rolling_correlations,shuffle,8,2026-07-05T19:34:45.819002+00:00,2026-07-05T19:34:52.201034+00:00,6.382016299990937,success,735232,324,data\derived\monte_carlo_baselines\returns\shuffle\shuffle_sim_008.parquet,
20260705T193434Z,rolling_baselines,read_baseline_returns,shuffle,9,2026-07-05T19:34:45.955395+00:00,2026-07-05T19:34:46.017438+00:00,0.06202579999808222,success,735232,735232,data\derived\monte_carlo_baselines\returns\shuffle\shuffle_sim_009.parquet,
20260705T193434Z,rolling_baselines,compute_rolling_metrics_w2048,shuffle,9,2026-07-05T19:34:46.017461+00:00,2026-07-05T19:34:48.431636+00:00,2.41416060004849,success,735232,162,,
20260705T193434Z,rolling_baselines,compute_rolling_metrics_w8192,shuffle,9,2026-07-05T19:34:48.431645+00:00,2026-07-05T19:34:52.177572+00:00,3.745906600030139,success,735232,162,,
20260705T193434Z,rolling_baselines,compute_simulation_rolling_correlations,shuffle,9,2026-07-05T19:34:45.955378+00:00,2026-07-05T19:34:52.177601+00:00,6.222209900035523,success,735232,324,data\derived\monte_carlo_baselines\returns\shuffle\shuffle_sim_009.parquet,
20260705T193434Z,rolling_baselines,read_baseline_returns,shuffle,10,2026-07-05T19:34:46.015517+00:00,2026-07-05T19:34:46.054667+00:00,0.03912640002090484,success,735232,735232,data\derived\monte_carlo_baselines\returns\shuffle\shuffle_sim_010.parquet,
20260705T193434Z,rolling_baselines,compute_rolling_metrics_w2048,shuffle,10,2026-07-05T19:34:46.054691+00:00,2026-07-05T19:34:48.375464+00:00,2.320735999965109,success,735232,162,,
20260705T193434Z,rolling_baselines,compute_rolling_metrics_w8192,shuffle,10,2026-07-05T19:34:48.375481+00:00,2026-07-05T19:34:52.134735+00:00,3.759233899996616,success,735232,162,,
20260705T193434Z,rolling_baselines,compute_simulation_rolling_correlations,shuffle,10,2026-07-05T19:34:46.015511+00:00,2026-07-05T19:34:52.134758+00:00,6.119240899919532,success,735232,324,data\derived\monte_carlo_baselines\returns\shuffle\shuffle_sim_010.parquet,
20260705T193434Z,rolling_baselines,read_baseline_returns,shuffle,11,2026-07-05T19:34:48.437363+00:00,2026-07-05T19:34:48.507784+00:00,0.07039430004078895,success,735232,735232,data\derived\monte_carlo_baselines\returns\shuffle\shuffle_sim_011.parquet,
20260705T193434Z,rolling_baselines,compute_rolling_metrics_w2048,shuffle,11,2026-07-05T19:34:48.507811+00:00,2026-07-05T19:34:50.673011+00:00,2.165180000010878,success,735232,162,,
20260705T193434Z,rolling_baselines,compute_rolling_metrics_w8192,shuffle,11,2026-07-05T19:34:50.673021+00:00,2026-07-05T19:34:53.174868+00:00,2.501825600047596,success,735232,162,,
20260705T193434Z,rolling_baselines,compute_simulation_rolling_correlations,shuffle,11,2026-07-05T19:34:48.437355+00:00,2026-07-05T19:34:53.174900+00:00,4.737534200074151,success,735232,324,data\derived\monte_carlo_baselines\returns\shuffle\shuffle_sim_011.parquet,
20260705T193434Z,rolling_baselines,read_baseline_returns,shuffle,12,2026-07-05T19:34:52.135481+00:00,2026-07-05T19:34:52.161154+00:00,0.025643799919635057,success,735232,735232,data\derived\monte_carlo_baselines\returns\shuffle\shuffle_sim_012.parquet,
20260705T193434Z,rolling_baselines,compute_rolling_metrics_w2048,shuffle,12,2026-07-05T19:34:52.161182+00:00,2026-07-05T19:34:53.283961+00:00,1.1227576999226585,success,735232,162,,
20260705T193434Z,rolling_baselines,compute_rolling_metrics_w8192,shuffle,12,2026-07-05T19:34:53.283971+00:00,2026-07-05T19:34:56.163521+00:00,2.8795297000324354,success,735232,162,,
