baseline_type,window_length,correlation_kind,component_i,component_j,metric,n_simulations,mean,median,std,p05,p95,min,max,quantile_method
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_03,correlation,100,-0.09459551962845734,-0.09514814373715519,0.04153289228166115,-0.16802954887874794,-0.01930939523639267,-0.192515003753948,-0.009162084442511795,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_04,correlation,100,1.0,1.0,1.3936538910926895e-16,0.9999999999999998,1.0,0.9999999999999998,1.0,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_05,correlation,100,-0.04967810036937098,-0.04458218776252498,0.04391710651727721,-0.12724236872201672,0.02229155113070047,-0.17096053719032414,0.04636775245302897,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_06,correlation,100,-0.032709203396313,-0.03420675338078508,0.037125540737630205,-0.09245176481513855,0.029201816608353536,-0.10527030075846272,0.06160607259974043,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_07,correlation,100,-0.019998337767229542,-0.017452714061263495,0.02841184082557355,-0.06747894377153994,0.021135411687087304,-0.09677023620928997,0.062318126713802616,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_08,correlation,100,-0.019411818746940833,-0.02020365458058459,0.029695844135812006,-0.06571081967327903,0.02872635801224378,-0.08433324200160273,0.0514892108301338,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_04,D_09,correlation,100,-0.008683796971338887,-0.008291313838710596,0.028692703262843004,-0.051957711251008155,0.03178413162779256,-0.06955815839929451,0.07858855885740341,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_01,correlation,100,-0.1656070965156402,-0.1693768748301731,0.03990926057724398,-0.2261106196840016,-0.10345407483370048,-0.25504598940644624,-0.05893476663090453,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_02,correlation,100,-0.10123067083296995,-0.10122288957239017,0.04398100804407642,-0.17750657118831586,-0.03510216404685048,-0.23691812330033762,0.005943161829837833,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_03,correlation,100,-0.06397806382086388,-0.06978916189150122,0.042963352703061806,-0.12611850810026176,0.003514002722333798,-0.15398019302830285,0.0541210269095257,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_04,correlation,100,-0.04967810036937098,-0.04458218776252498,0.04391710651727722,-0.12724236872201672,0.02229155113070047,-0.17096053719032414,0.04636775245302897,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_05,correlation,100,1.0,1.0,1.4633791263565398e-16,0.9999999999999998,1.0,0.9999999999999998,1.0,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_06,correlation,100,-0.018016345138638003,-0.018176023993565278,0.03751943151948115,-0.07675760744298835,0.044280581496002336,-0.11178540248820079,0.09815785973510108,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_07,correlation,100,-0.015170631924013089,-0.014804824993358253,0.028067518238854578,-0.05960721884268036,0.025773169489702052,-0.08944378703400736,0.05741084663470842,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_08,correlation,100,-0.011943523655677152,-0.012781370256736257,0.02777072331936595,-0.055709203376317185,0.032476674820718046,-0.08162821729509083,0.055607443508230776,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_05,D_09,correlation,100,-0.01032149850031582,-0.008141970289864207,0.025212795608199414,-0.05735243308262905,0.026989871670456654,-0.07263011187361708,0.04649492574825553,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_01,correlation,100,-0.12457387632236706,-0.127698814692354,0.03479359238051661,-0.1819118425010436,-0.07240112432172494,-0.20993304800452142,-0.049386626891455315,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_02,correlation,100,-0.061465905553036285,-0.05961660999793001,0.03520968644012853,-0.11317778443298628,-0.005592043705629674,-0.16974151389697356,0.027261086791460363,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_03,correlation,100,-0.04391829568777478,-0.04395301697129262,0.03926506176818252,-0.1027665962136427,0.013786118072482634,-0.1511603553401467,0.0526753130364936,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_04,correlation,100,-0.032709203396313,-0.034206753380785083,0.037125540737630205,-0.09245176481513855,0.02920181660835354,-0.10527030075846272,0.06160607259974043,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_05,correlation,100,-0.018016345138638003,-0.018176023993565278,0.03751943151948115,-0.07675760744298835,0.044280581496002336,-0.11178540248820079,0.09815785973510108,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_06,correlation,100,1.0,1.0,1.4114081595988996e-16,0.9999999999999998,1.0,0.9999999999999998,1.0,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_07,correlation,100,-0.01750393905739353,-0.019996476994331804,0.032446680222571106,-0.07013675544673309,0.03808707325390667,-0.11404050349114603,0.06892663791964863,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_08,correlation,100,-0.010112867364744442,-0.011410406505311797,0.02646854423546538,-0.050359631045693874,0.03588691496823558,-0.05958253897059395,0.07294319667524798,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_06,D_09,correlation,100,-0.005229607616231964,-0.004278363052756284,0.02829730252914976,-0.05177161316560124,0.039543897448458154,-0.08115707695583843,0.05720718103825518,linear
gaussian,2048,detail_energy_share_percentile_correlation,D_07,D_01,correlation,100,-0.08821797384281266,-0.0893335509094633,0.028459166108328205,-0.12743077308677067,-0.03996004471737356,-0.14640090312817275,-0.027622435640073856,linear
