window_length,window_id,window_end_timestamp_utc,component,k,component_type,scale_minutes,scale_days,energy,rms_volatility,detail_energy_share,total_component_energy_share
2048,3,2016-01-18 00:50:00+00:00,D_06,6,detail,160,0.1111111111111111,4.937432248107089e-06,4.9100464253365664e-05,0.013209349028899057,0.013199341054330927
2048,3,2016-01-18 00:50:00+00:00,D_07,7,detail,320,0.2222222222222222,2.6576927771340446e-06,3.602362490553918e-05,0.007110252807662669,0.007104865772380582
2048,3,2016-01-18 00:50:00+00:00,D_08,8,detail,640,0.4444444444444444,1.0881335432149982e-06,2.305027563062855e-05,0.002911135796929679,0.0029089301944464443
2048,3,2016-01-18 00:50:00+00:00,D_09,9,detail,1280,0.8888888888888888,3.7155779173002054e-07,1.3469398761384047e-05,0.0009940463602817974,0.0009932932277336697
2048,3,2016-01-18 00:50:00+00:00,A_09,9,approximation,2560,1.7777777777777777,2.834090250405341e-07,1.1763643696069399e-05,,0.0007576432832712943
2048,4,2016-01-19 00:50:00+00:00,D_01,1,detail,5,0.003472222222222222,0.00016671226350399148,0.0002853111852242361,0.4976767725636016,0.4974769209250773
2048,4,2016-01-19 00:50:00+00:00,D_02,2,detail,10,0.006944444444444444,8.625255256479764e-05,0.0002052206231888747,0.2574849089298889,0.2573815109338767
2048,4,2016-01-19 00:50:00+00:00,D_03,3,detail,20,0.013888888888888888,5.37640354532927e-05,0.00016202459824414956,0.16049876045111186,0.1604343091003043
2048,4,2016-01-19 00:50:00+00:00,D_04,4,detail,40,0.027777777777777776,1.4971416678516262e-05,8.55000704681392e-05,0.04469333075242216,0.04467538328958203
2048,4,2016-01-19 00:50:00+00:00,D_05,5,detail,80,0.05555555555555555,7.324770624613611e-06,5.980424864965377e-05,0.021866227040574608,0.021857446238368605
2048,4,2016-01-19 00:50:00+00:00,D_06,6,detail,160,0.1111111111111111,3.2586350518673327e-06,3.9888975875793004e-05,0.009727820506360832,0.009723914113748912
2048,4,2016-01-19 00:50:00+00:00,D_07,7,detail,320,0.2222222222222222,1.4363557037321285e-06,2.648292956723167e-05,0.004287872144868404,0.004286150267695956
2048,4,2016-01-19 00:50:00+00:00,D_08,8,detail,640,0.4444444444444444,1.1361556284059153e-06,2.3553417807880364e-05,0.003391701692428216,0.003390339689662594
2048,4,2016-01-19 00:50:00+00:00,D_09,9,detail,1280,0.8888888888888888,1.2481590368124437e-07,7.806744870261716e-06,0.0003726059187433671,0.000372456291701299
2048,4,2016-01-19 00:50:00+00:00,A_09,9,approximation,2560,1.7777777777777777,1.3457207587126942e-07,8.10611012887922e-06,,0.0004015691499823715
2048,5,2016-01-20 00:50:00+00:00,D_01,1,detail,5,0.003472222222222222,0.0001382802995989237,0.0002598454878163886,0.48764337168231636,0.4871285966435826
2048,5,2016-01-20 00:50:00+00:00,D_02,2,detail,10,0.006944444444444444,7.194939709863006e-05,0.00018743409922440863,0.25372845368031677,0.2534606081970068
2048,5,2016-01-20 00:50:00+00:00,D_03,3,detail,20,0.013888888888888888,4.890969069729851e-05,0.00015453700175294683,0.17247927975819566,0.17229720401786108
2048,5,2016-01-20 00:50:00+00:00,D_04,4,detail,40,0.027777777777777776,1.3542226794826842e-05,8.131675981715912e-05,0.04775645665702167,0.047706043110456696
2048,5,2016-01-20 00:50:00+00:00,D_05,5,detail,80,0.05555555555555555,5.851321336950711e-06,5.345175859181777e-05,0.020634595628035022,0.02061281295778764
2048,5,2016-01-20 00:50:00+00:00,D_06,6,detail,160,0.1111111111111111,2.4668247922815173e-06,3.470596912789224e-05,0.008699220080855623,0.008690036850621965
2048,5,2016-01-20 00:50:00+00:00,D_07,7,detail,320,0.2222222222222222,1.4424650370109833e-06,2.653919048036355e-05,0.005086830996332092,0.005081461142510158
2048,5,2016-01-20 00:50:00+00:00,D_08,8,detail,640,0.4444444444444444,8.964227781578831e-07,2.09214348133058e-05,0.003161221282146699,0.0031578841757643255
2048,5,2016-01-20 00:50:00+00:00,D_09,9,detail,1280,0.8888888888888888,2.2985218588057764e-07,1.05939847383787e-05,0.0008105702347800511,0.0008097145657640531
2048,5,2016-01-20 00:50:00+00:00,A_09,9,approximation,2560,1.7777777777777777,2.996621153873842e-07,1.2096255299843675e-05,,0.0010556383386447332
2048,6,2016-01-21 00:50:00+00:00,D_01,1,detail,5,0.003472222222222222,0.00013241308488270049,0.00025427313385979473,0.491119118348894,0.4910502695051062
2048,6,2016-01-21 00:50:00+00:00,D_02,2,detail,10,0.006944444444444444,6.821295097787585e-05,0.0001825023423676144,0.2530013130795015,0.2529658454154837
2048,6,2016-01-21 00:50:00+00:00,D_03,3,detail,20,0.013888888888888888,4.377160344090596e-05,0.00014619457323248995,0.1623485421373466,0.16232578287386207
2048,6,2016-01-21 00:50:00+00:00,D_04,4,detail,40,0.027777777777777776,1.4112691089923176e-05,8.301182112356981e-05,0.05234386323491573,0.05233652527080791
2048,6,2016-01-21 00:50:00+00:00,D_05,5,detail,80,0.05555555555555555,5.66827759768076e-06,5.26090645301982e-05,0.02102359822517404,0.021020650975971184
2048,6,2016-01-21 00:50:00+00:00,D_06,6,detail,160,0.1111111111111111,3.1790485140108467e-06,3.9398855087830395e-05,0.011791066606238009,0.011789413644110219
2048,6,2016-01-21 00:50:00+00:00,D_07,7,detail,320,0.2222222222222222,1.5445953180890064e-06,2.74626461336239e-05,0.005728892212561157,0.005728089092523099
2048,6,2016-01-21 00:50:00+00:00,D_08,8,detail,640,0.4444444444444444,4.408775635416948e-07,1.4672158935313274e-05,0.0016352115087282736,0.0016349822722405904
2048,6,2016-01-21 00:50:00+00:00,D_09,9,detail,1280,0.8888888888888888,2.71878330433981e-07,1.15218527603948e-05,0.0010083946466407773,0.0010082532821470954
2048,6,2016-01-21 00:50:00+00:00,A_09,9,approximation,2560,1.7777777777777777,3.7801998495422175e-08,4.296278282169681e-06,,0.0001401876677478863
2048,7,2016-01-22 00:50:00+00:00,D_01,1,detail,5,0.003472222222222222,0.0001777971957204331,0.0002946439155537879,0.5236586423399834,0.5231815899569074
2048,7,2016-01-22 00:50:00+00:00,D_02,2,detail,10,0.006944444444444444,7.915881310383875e-05,0.00019660051935551636,0.23314314059474703,0.23293074747864845
2048,7,2016-01-22 00:50:00+00:00,D_03,3,detail,20,0.013888888888888888,4.6725692002106155e-05,0.0001510472750429593,0.13761922586615433,0.13749385491960955
2048,7,2016-01-22 00:50:00+00:00,D_04,4,detail,40,0.027777777777777776,1.9321262498563732e-05,9.712986257777174e-05,0.05690610612442608,0.05685426473130608
2048,7,2016-01-22 00:50:00+00:00,D_05,5,detail,80,0.05555555555555555,8.54034080720897e-06,6.457622073774529e-05,0.025153508490965714,0.025130593675476914
