window_length,window_id,window_end_timestamp_utc,scale_group,component_start,component_end,group_energy,group_detail_energy_share
2048,0,2016-01-13 00:45:00+00:00,fine,D_01,D_03,0.00030582627528332303,0.8891896899863703
2048,0,2016-01-13 00:45:00+00:00,mid,D_04,D_06,3.3617685300679126e-05,0.0977433974333215
2048,0,2016-01-13 00:45:00+00:00,coarse,D_07,D_09,4.4942100081589245e-06,0.013066912580308279
2048,1,2016-01-14 00:45:00+00:00,fine,D_01,D_03,0.00029731499191964854,0.8969402566355098
2048,1,2016-01-14 00:45:00+00:00,mid,D_04,D_06,3.09979804351618e-05,0.0935147479351145
2048,1,2016-01-14 00:45:00+00:00,coarse,D_07,D_09,3.163945667466187e-06,0.009544995429375742
2048,2,2016-01-15 00:45:00+00:00,fine,D_01,D_03,0.0003158682372684122,0.8936466991382551
2048,2,2016-01-15 00:45:00+00:00,mid,D_04,D_06,3.436776142323474e-05,0.0972324308966413
2048,2,2016-01-15 00:45:00+00:00,coarse,D_07,D_09,3.2238614219800517e-06,0.009120869965103463
2048,3,2016-01-18 00:50:00+00:00,fine,D_01,D_03,0.0003344434504948526,0.8947525851538556
2048,3,2016-01-18 00:50:00+00:00,mid,D_04,D_06,3.522232740242308e-05,0.0942319798812702
2048,3,2016-01-18 00:50:00+00:00,coarse,D_07,D_09,4.1173841120790635e-06,0.011015434964874145
2048,4,2016-01-19 00:50:00+00:00,fine,D_01,D_03,0.00030672885152208183,0.9156604419446024
2048,4,2016-01-19 00:50:00+00:00,mid,D_04,D_06,2.5554822354997205e-05,0.0762873782993576
2048,4,2016-01-19 00:50:00+00:00,coarse,D_07,D_09,2.697327235819288e-06,0.008052179756039987
2048,5,2016-01-20 00:50:00+00:00,fine,D_01,D_03,0.0002591393873948523,0.9138511051208288
2048,5,2016-01-20 00:50:00+00:00,mid,D_04,D_06,2.186037292405907e-05,0.0770902723659123
2048,5,2016-01-20 00:50:00+00:00,coarse,D_07,D_09,2.568740001049444e-06,0.009058622513258842
2048,6,2016-01-21 00:50:00+00:00,fine,D_01,D_03,0.0002443976393014823,0.9064689735657421
2048,6,2016-01-21 00:50:00+00:00,mid,D_04,D_06,2.2960017201614784e-05,0.08515852806632779
2048,6,2016-01-21 00:50:00+00:00,coarse,D_07,D_09,2.2573512120646822e-06,0.008372498367930208
2048,7,2016-01-22 00:50:00+00:00,fine,D_01,D_03,0.00030368170082637803,0.8944210088008849
2048,7,2016-01-22 00:50:00+00:00,mid,D_04,D_06,3.1213462534195434e-05,0.09193170537451997
2048,7,2016-01-22 00:50:00+00:00,coarse,D_07,D_09,4.6336467168107635e-06,0.013647285824595207
2048,8,2016-01-25 00:55:00+00:00,fine,D_01,D_03,0.0003031011543015362,0.8993342377617067
2048,8,2016-01-25 00:55:00+00:00,mid,D_04,D_06,3.147715237541152e-05,0.09339614988825644
2048,8,2016-01-25 00:55:00+00:00,coarse,D_07,D_09,2.4500656175448795e-06,0.0072696123500369065
2048,9,2016-01-26 00:55:00+00:00,fine,D_01,D_03,0.00027352667043362177,0.903697198986102
2048,9,2016-01-26 00:55:00+00:00,mid,D_04,D_06,2.5525212451410848e-05,0.08433204323109314
2048,9,2016-01-26 00:55:00+00:00,coarse,D_07,D_09,3.6232507111581035e-06,0.011970757782804868
2048,10,2016-01-27 00:55:00+00:00,fine,D_01,D_03,0.00023826685283129479,0.9028182429243824
2048,10,2016-01-27 00:55:00+00:00,mid,D_04,D_06,2.3494124444564136e-05,0.08902171618939628
2048,10,2016-01-27 00:55:00+00:00,coarse,D_07,D_09,2.1535533604602576e-06,0.008160040886221258
2048,11,2016-01-28 00:55:00+00:00,fine,D_01,D_03,0.0002503541042629501,0.8990913368923398
2048,11,2016-01-28 00:55:00+00:00,mid,D_04,D_06,2.4828556214098007e-05,0.08916626258379096
2048,11,2016-01-28 00:55:00+00:00,coarse,D_07,D_09,3.269699133361948e-06,0.011742400523869396
2048,12,2016-01-29 00:55:00+00:00,fine,D_01,D_03,0.0002442970500647736,0.8927838315882176
2048,12,2016-01-29 00:55:00+00:00,mid,D_04,D_06,2.694817754761521e-05,0.09848214376268744
2048,12,2016-01-29 00:55:00+00:00,coarse,D_07,D_09,2.3899362661745487e-06,0.008734024649095099
2048,13,2016-02-01 01:00:00+00:00,fine,D_01,D_03,0.00025406623936197913,0.8892704993833941
2048,13,2016-02-01 01:00:00+00:00,mid,D_04,D_06,2.8400352793547108e-05,0.09940555649898636
2048,13,2016-02-01 01:00:00+00:00,coarse,D_07,D_09,3.2352719433554745e-06,0.011323944117619559
2048,14,2016-02-02 01:00:00+00:00,fine,D_01,D_03,0.00018079084764076144,0.8988716314366906
2048,14,2016-02-02 01:00:00+00:00,mid,D_04,D_06,1.8049014570355088e-05,0.0897376575440196
2048,14,2016-02-02 01:00:00+00:00,coarse,D_07,D_09,2.2910237996018163e-06,0.01139071101928983
2048,15,2016-02-03 01:00:00+00:00,fine,D_01,D_03,0.00016652942225641463,0.8934307390212637
2048,15,2016-02-03 01:00:00+00:00,mid,D_04,D_06,1.8717714336457743e-05,0.1004205810950394
2048,15,2016-02-03 01:00:00+00:00,coarse,D_07,D_09,1.1460721731976622e-06,0.006148679883696957
2048,16,2016-02-04 01:00:00+00:00,fine,D_01,D_03,0.00021121994558508298,0.874555212005478
2048,16,2016-02-04 01:00:00+00:00,mid,D_04,D_06,2.6778576930159235e-05,0.11087657446122533
2048,16,2016-02-04 01:00:00+00:00,coarse,D_07,D_09,3.51847113542273e-06,0.014568213533296615
2048,17,2016-02-05 01:00:00+00:00,fine,D_01,D_03,0.0002493462178320795,0.87709596567852
2048,17,2016-02-05 01:00:00+00:00,mid,D_04,D_06,3.240827328502724e-05,0.11399878450150419
2048,17,2016-02-05 01:00:00+00:00,coarse,D_07,D_09,2.5316390091282717e-06,0.008905249819975801
2048,18,2016-02-08 01:05:00+00:00,fine,D_01,D_03,0.0002694116855648141,0.880457265951847
2048,18,2016-02-08 01:05:00+00:00,mid,D_04,D_06,3.1478367858448976e-05,0.10287362867416833
2048,18,2016-02-08 01:05:00+00:00,coarse,D_07,D_09,5.100590283399743e-06,0.016669105373984607
2048,19,2016-02-09 01:05:00+00:00,fine,D_01,D_03,0.00029281134277692666,0.8829637597804312
2048,19,2016-02-09 01:05:00+00:00,mid,D_04,D_06,3.4709740820525715e-05,0.1046661750369552
2048,19,2016-02-09 01:05:00+00:00,coarse,D_07,D_09,4.102201654640832e-06,0.012370065182613525
2048,20,2016-02-10 01:05:00+00:00,fine,D_01,D_03,0.00030507075169304413,0.881145209458861
2048,20,2016-02-10 01:05:00+00:00,mid,D_04,D_06,3.585750378803362e-05,0.103568328037457
2048,20,2016-02-10 01:05:00+00:00,coarse,D_07,D_09,5.292490450682714e-06,0.015286462503682133
2048,21,2016-02-11 01:05:00+00:00,fine,D_01,D_03,0.00033764767037009586,0.879903010672158
2048,21,2016-02-11 01:05:00+00:00,mid,D_04,D_06,4.068342450077141e-05,0.1060201827053762
2048,21,2016-02-11 01:05:00+00:00,coarse,D_07,D_09,5.401732809954897e-06,0.014076806622465726
2048,22,2016-02-12 01:05:00+00:00,fine,D_01,D_03,0.00038894206895046695,0.8836432524008845
2048,22,2016-02-12 01:05:00+00:00,mid,D_04,D_06,4.528352869908088e-05,0.10288032016649913
2048,22,2016-02-12 01:05:00+00:00,coarse,D_07,D_09,5.93174853478617e-06,0.013476427432616348
2048,23,2016-02-15 01:10:00+00:00,fine,D_01,D_03,0.0003725524743901685,0.8909435919976777
2048,23,2016-02-15 01:10:00+00:00,mid,D_04,D_06,4.116037524805675e-05,0.09843330830510176
2048,23,2016-02-15 01:10:00+00:00,coarse,D_07,D_09,4.44210173734915e-06,0.01062309969722058
2048,24,2016-02-16 01:10:00+00:00,fine,D_01,D_03,0.0003350159261002818,0.8906865198170134
